freq,ref_ind,kappa,alpha,epsilon_r,epsilon_i,ref_ind_S,kappa_S,alpha_S,alpha_max,epsilonS_r,epsilonS_i,delta_N,delta_A,H_measure_r,H_measure_i,H_calc_r,H_calc_i,T_measure,T_calc
+2.20810943e+012,+3.06161313e+000,+7.26803794e-003,+6.72243152e+000,+9.37342211e+000,+4.45038407e-002,+3.06164586e+000,+7.30477854e-003,+6.76109140e+000,+3.31824983e+001,+9.37362204e+000,+4.47292900e-002,+6.02263795e-004,+6.15690702e-001,-2.15344843e-001,-1.65486183e-001,-2.15344843e-001,-1.65486183e-001,+2.71586226e-001,+2.71586226e-001
+2.21299463e+012,+3.06178254e+000,+7.32402216e-003,+6.78920025e+000,+9.37445867e+000,+4.48491263e-002,+3.06179840e+000,+7.36367280e-003,+6.83068099e+000,+3.30914603e+001,+9.37455522e+000,+4.50921632e-002,+6.92783709e-004,+5.16466129e-001,-2.68879284e-001,-1.85909610e-004,-2.68879284e-001,-1.85909580e-004,+2.68879348e-001,+2.68879348e-001
+2.21787982e+012,+3.06195569e+000,+7.39155153e-003,+6.86692380e+000,+9.37551803e+000,+4.52652066e-002,+3.06194741e+000,+7.42716618e-003,+6.90478742e+000,+3.29974677e+001,+9.37546679e+000,+4.54831845e-002,+6.67379969e-004,+5.65900255e-001,-2.10850941e-001,+1.61777783e-001,-2.10850941e-001,+1.61777783e-001,+2.65763373e-001,+2.65763373e-001
+2.22276502e+012,+3.06212403e+000,+7.46972600e-003,+6.95483506e+000,+9.37654775e+000,+4.57464549e-002,+3.06208940e+000,+7.49235936e-003,+6.98073762e+000,+3.29051493e+001,+9.37633536e+000,+4.58845484e-002,+7.54479391e-004,+5.25203872e-001,-6.78735474e-002,+2.53349365e-001,-6.78735474e-002,+2.53349365e-001,+2.62283661e-001,+2.62283661e-001
+2.22765022e+012,+3.06227882e+000,+7.55405648e-003,+7.04881053e+000,+9.37749454e+000,+4.62652544e-002,+3.06222183e+000,+7.55557535e-003,+7.05510858e+000,+3.28142886e+001,+9.37714542e+000,+4.62736955e-002,+6.98167522e-004,+6.51147615e-001,+9.85702407e-002,+2.39093733e-001,+9.85702407e-002,+2.39093733e-001,+2.58615362e-001,+2.58615362e-001
+2.23253542e+012,+3.06241364e+000,+7.63716975e-003,+7.14199284e+000,+9.37831897e+000,+4.67763456e-002,+3.06234369e+000,+7.61291463e-003,+7.12423896e+000,+3.27200013e+001,+9.37789092e+000,+4.66267221e-002,+6.79142361e-004,+7.05209030e-001,+2.20084062e-001,+1.28852774e-001,+2.20084062e-001,+1.28852774e-001,+2.55029472e-001,+2.55029472e-001
+2.23742062e+012,+3.06252602e+000,+7.71058363e-003,+7.22642495e+000,+9.37900615e+000,+4.72277259e-002,+3.06245582e+000,+7.66093100e-003,+7.18486062e+000,+3.26147004e+001,+9.37857698e+000,+4.69225255e-002,+9.05367739e-004,+4.23547414e-001,+2.50091331e-001,-2.94871150e-002,+2.50091331e-001,-2.94871150e-002,+2.51823676e-001,+2.51823676e-001
+2.24230581e+012,+3.06261806e+000,+7.76678383e-003,+7.29498948e+000,+9.37956907e+000,+4.75733849e-002,+3.06256078e+000,+7.69728593e-003,+7.23471827e+000,+3.24910608e+001,+9.37921930e+000,+4.71468121e-002,+6.98111737e-004,+6.53845381e-001,+1.80388819e-001,-1.72004168e-001,+1.80388819e-001,-1.72004168e-001,+2.49249995e-001,+2.49249995e-001
+2.24719101e+012,+3.06269590e+000,+7.80087846e-003,+7.34297602e+000,+9.38004533e+000,+4.77834370e-002,+3.06266236e+000,+7.72123476e-003,+7.27303885e+000,+3.23449734e+001,+9.37984110e+000,+4.72950701e-002,+8.91972660e-004,+3.36136915e-001,+4.11057936e-002,-2.44025968e-001,+4.11057936e-002,-2.44025968e-001,+2.47463855e-001,+2.47463855e-001
+2.25207621e+012,+3.06276845e+000,+7.81153817e-003,+7.36899482e+000,+9.38048956e+000,+4.78498653e-002,+3.06276476e+000,+7.73381167e-003,+7.30072241e+000,+3.21777329e+001,+9.38046819e+000,+4.73736918e-002,+6.61135758e-004,+6.62559365e-001,-1.12674210e-001,-2.19240804e-001,-1.12674210e-001,-2.19240804e-001,+2.46499509e-001,+2.46499509e-001
+2.25696141e+012,+3.06284574e+000,+7.80129118e-003,+7.37529219e+000,+9.38096316e+000,+4.77883029e-002,+3.06287171e+000,+7.73763406e-003,+7.32017529e+000,+3.19970199e+001,+9.38112324e+000,+4.73987609e-002,+7.39995106e-004,+6.39241256e-001,-2.21345841e-001,-1.07944856e-001,-2.21345841e-001,-1.07944856e-001,+2.46264234e-001,+2.46264235e-001
+2.26184660e+012,+3.06293689e+000,+7.77626457e-003,+7.36754481e+000,+9.38152195e+000,+4.76364153e-002,+3.06298559e+000,+7.73635490e-003,+7.33480706e+000,+3.18163627e+001,+9.38182090e+000,+4.73926873e-002,+8.33156831e-004,+6.11886310e-001,-2.42081128e-001,+4.67087717e-002,-2.42081128e-001,+4.67087717e-002,+2.46546105e-001,+2.46546105e-001
+2.26673180e+012,+3.06304794e+000,+7.74525315e-003,+7.35401251e+000,+9.38220269e+000,+4.74481634e-002,+3.06310708e+000,+7.73391864e-003,+7.34833418e+000,+3.16528092e+001,+9.38256518e+000,+4.73796419e-002,+7.76159653e-004,+7.29868385e-001,-1.65289559e-001,+1.83599325e-001,-1.65289559e-001,+1.83599325e-001,+2.47041192e-001,+2.47041192e-001
+2.27161700e+012,+3.06317996e+000,+7.71792691e-003,+7.34385986e+000,+9.38301191e+000,+4.72827981e-002,+3.06323515e+000,+7.73384847e-003,+7.36410429e+000,+3.15228642e+001,+9.38334978e+000,+4.73811930e-002,+9.40463585e-004,+5.46047560e-001,-2.04342951e-002,+2.46565986e-001,-2.04342951e-002,+2.46565986e-001,+2.47411288e-001,+2.47411288e-001
+2.27650220e+012,+3.06332859e+000,+7.70239833e-003,+7.34484538e+000,+9.38392272e+000,+4.71899540e-002,+3.06336757e+000,+7.73876377e-003,+7.38463144e+000,+3.14375941e+001,+9.38416098e+000,+4.74133559e-002,+6.99403705e-004,+7.92454440e-001,+1.33496534e-001,+2.08254554e-001,+1.33496534e-001,+2.08254554e-001,+2.47368721e-001,+2.47368721e-001
+2.28138740e+012,+3.06348543e+000,+7.70309494e-003,+7.36127255e+000,+9.38488366e+000,+4.71966383e-002,+3.06350159e+000,+7.75021619e-003,+7.41143008e+000,+3.13987534e+001,+9.38498194e+000,+4.74855993e-002,+7.39188754e-004,+7.26220266e-001,+2.32067486e-001,+8.38616462e-002,+2.32067486e-001,+8.38616462e-002,+2.46755129e-001,+2.46755129e-001
+2.28627259e+012,+3.06364107e+000,+7.72010373e-003,+7.39332428e+000,+9.38583699e+000,+4.73032537e-002,+3.06363466e+000,+7.76880769e-003,+7.44511726e+000,+3.13978029e+001,+9.38579698e+000,+4.76015770e-002,+7.74318797e-004,+6.62704109e-001,+2.34076024e-001,-7.42446319e-002,+2.34076024e-001,-7.42446319e-002,+2.45568423e-001,+2.45568423e-001
