,t,y
2282,1186.0679763997373,-3.55079620618823e-11
2283,1186.0180818823778,-3.096048855301766e-11
2284,1185.9681873650181,-2.7322509745925947e-11
2285,1185.9182928476584,-2.3684530938834234e-11
2286,1185.8683983302988,-2.095604683351545e-11
2287,1185.818503812939,-1.8227562728196664e-11
2288,1185.7686092955794,-1.549907862287788e-11
2289,1185.7187147782197,-1.3680089219332023e-11
2290,1185.66882026086,-1.0951605114013239e-11
2291,1185.6189257435003,-8.223121008694454e-12
2292,1185.5690312261406,-4.585142201602742e-12
2293,1185.519136708781,-2.766152798056885e-12
2294,1185.4692421914215,-3.7668692738100256e-14
2295,1185.4193476740618,1.7813207108077562e-12
2296,1185.369453156702,3.6003101143536125e-12
2297,1185.3195586393424,3.6003101143536125e-12
2298,1185.2696641219827,3.6003101143536125e-12
2299,1185.219769604623,8.71826009034828e-13
2300,1185.1698750872633,-9.471633945110285e-13
2301,1185.1199805699036,-2.766152798056885e-12
2302,1185.070086052544,-4.585142201602742e-12
2303,1185.0201915351843,-8.223121008694454e-12
2304,1184.9702970178246,-1.1861099815786167e-11
2305,1184.9204025004651,-1.6408573324650808e-11
2306,1184.8705079831054,-2.095604683351545e-11
2307,1184.8206134657457,-2.3684530938834234e-11
2308,1184.770718948386,-2.8232004447698875e-11
2309,1184.7208244310264,-3.096048855301766e-11
2310,1184.6709299136667,-3.641745676365523e-11
2311,1184.621035396307,-4.096493027251987e-11
2312,1184.5711408789473,-4.551240378138451e-11
2313,1184.5212463615876,-4.9150382588476224e-11
2314,1184.471351844228,-5.4607350799113794e-11
2315,1184.4214573268682,-6.097381371152429e-11
2316,1184.3715628095088,-6.552128722038893e-11
2317,1184.321668292149,-7.006876072925357e-11
2318,1184.2717737747894,-7.461623423811822e-11
2319,1184.2218792574297,-8.007320244875578e-11
2320,1184.17198474007,-8.37111812558475e-11
2321,1184.1220902227103,-8.916814946648507e-11
2322,1184.0721957053506,-9.553461237889556e-11
2323,1184.022301187991,-1.0190107529130606e-10
2324,1183.9724066706312,-1.0735804350194363e-10
2325,1183.9225121532716,-1.1099602230903534e-10
2326,1183.8726176359119,-1.1463400111612706e-10
2327,1183.8227231185524,-1.1827197992321877e-10
2328,1183.7728286011927,-1.2190995873031048e-10
2329,1183.722934083833,-1.2463844283562927e-10
2330,1183.6730395664733,-1.2827642164272098e-10
2331,1183.6231450491136,-1.319144004498127e-10
2332,1183.573250531754,-1.355523792569044e-10
2333,1183.5233560143943,-1.3919035806399612e-10
2334,1183.4734614970346,-1.4100934746754198e-10
2335,1183.423566979675,-1.4282833687108783e-10
2336,1183.3736724623152,-1.4373783157286076e-10
2337,1183.3237779449555,-1.4555682097640662e-10
2338,1183.273883427596,-1.482853050817254e-10
2339,1183.2239889102364,-1.510137891870442e-10
2340,1183.1740943928767,-1.5192328388881712e-10
2341,1183.124199875517,-1.5283277859059004e-10
2342,1183.0743053581573,-1.5192328388881712e-10
2343,1183.0244108407976,-1.510137891870442e-10
2344,1182.974516323438,-1.5010429448527126e-10
2345,1182.9246218060782,-1.5010429448527126e-10
2346,1182.8747272887185,-1.5010429448527126e-10
2347,1182.8248327713588,-1.4919479978349833e-10
2348,1182.7749382539992,-1.482853050817254e-10
2349,1182.7250437366397,-1.4646631567817955e-10
2350,1182.67514921928,-1.446473262746337e-10
2351,1182.6252547019203,-1.419188421693149e-10
2352,1182.5753601845606,-1.4009985276576905e-10
