,freq,a,b
416,85400000000.0,0.7276363241596099,0.7195254957021391
417,85425000000.0,0.7277908706275851,0.719599178638385
418,85450000000.0,0.7279495159406123,0.7196771705805156
419,85475000000.0,0.7281122066825706,0.719759460636006
420,85500000000.0,0.7282788790774144,0.7198460268060621
421,85525000000.0,0.728449459288452,0.7199368361822166
422,85550000000.0,0.7286238635854767,0.720031845034991
423,85575000000.0,0.7288019985599259,0.720130998964504
424,85600000000.0,0.728983761479842,0.7202342331659148
425,85625000000.0,0.7291690404773551,0.7203414725824977
426,85650000000.0,0.7293577149257268,0.7204526322218134
427,85675000000.0,0.7295496557447885,0.7205676174154876
428,85700000000.0,0.729744725765256,0.720686324155393
429,85725000000.0,0.7299427800865127,0.7208086394165328
430,85750000000.0,0.7301436664623214,0.7209344415241953
431,85775000000.0,0.7303472257236515,0.7210636005523483
432,85800000000.0,0.7305532921687721,0.7211959787090648
433,85825000000.0,0.7307616940501649,0.7213314308076804
434,85850000000.0,0.730972253953629,0.721469804650508
435,85875000000.0,0.7311847893319765,0.7216109415560276
436,85900000000.0,0.7313991129208751,0.7217546767801335
437,85925000000.0,0.731615033270426,0.7219008400554282
438,85950000000.0,0.7318323551970186,0.7220492560516693
439,85975000000.0,0.7320508803014494,0.7221997449046705
440,86000000000.0,0.7322704074704139,0.7223521227296389
441,86025000000.0,0.7324907334002995,0.7225062021596139
442,86050000000.0,0.7327116530786891,0.7226617928449505
443,86075000000.0,0.7329329603407359,0.7228187020225376
444,86100000000.0,0.7331544483390713,0.7229767350049467
445,86125000000.0,0.7333759100800388,0.7231356957338312
446,86150000000.0,0.7335971389310674,0.7232953873062499
447,86175000000.0,0.7338179291383092,0.7234556125031367
448,86200000000.0,0.7340380762937632,0.7236161742841687
449,86225000000.0,0.7342573778546254,0.7237768763192446
450,86250000000.0,0.7344756335988989,0.7239375234621379
451,86275000000.0,0.7346926461351686,0.7240979222750022
452,86300000000.0,0.7349082213265851,0.7242578814733466
453,86325000000.0,0.7351221687310744,0.7244172123832847
454,86350000000.0,0.7353343020849993,0.7245757294342262
455,86375000000.0,0.7355444396424672,0.7247332505238693
456,86400000000.0,0.7357524046418576,0.7248895974922872
457,86425000000.0,0.7359580256196266,0.7250445964605764
458,86450000000.0,0.7361611368303345,0.7251980782600169
459,86475000000.0,0.73636157852442,0.7253498787291961
460,86500000000.0,0.7365591973015899,0.7254998390855598
461,86525000000.0,0.736753846389024,0.7256478062161978
462,86550000000.0,0.7369453858916678,0.7257936329569116
463,86575000000.0,0.7371336830768459,0.7259371783809971
464,86600000000.0,0.7373186125269439,0.7260783079872227
465,86625000000.0,0.7375000563876704,0.7262168939582027
466,86650000000.0,0.7376779045032241,0.7263528153230868
467,86675000000.0,0.7378520545568823,0.7264859581221512
468,86700000000.0,0.7380224121688884,0.7266162155291404
469,86725000000.0,0.7381888909882935,0.7267434879721626
470,86750000000.0,0.7383514127670107,0.7268676832305633
471,86775000000.0,0.7385099073389924,0.7269887164554969
472,86800000000.0,0.7386643126503915,0.7271065102257989
473,86825000000.0,0.7388145747284882,0.7272209945524337
474,86850000000.0,0.7389606476138348,0.7273321068484971
475,86875000000.0,0.7391024932991827,0.7274397919067297
476,86900000000.0,0.7392400815967882,0.7275440018096113
477,86925000000.0,0.7393733900047219,0.7276446958366186
478,86950000000.0,0.7395024035947645,0.7277418403927625
479,86975000000.0,0.7396271147815631,0.7278354088341383
480,87000000000.0,0.7397475231338625,0.7279253813164622
481,87025000000.0,0.7398636351607555,0.728011744641952
482,87050000000.0,0.739975464063844,0.7280944920496191
483,87075000000.0,0.7400830294694389,0.7281736230105422
484,87100000000.0,0.7401863571494299,0.7282491429987402
485,87125000000.0,0.7402854787234493,0.7283210632457154
486,87150000000.0,0.7403804313396245,0.7283894004775676
487,87175000000.0,0.7404712573735285,0.7284541766668955
488,87200000000.0,0.7405580040547457,0.7285154187174676
489,87225000000.0,0.7406407231356172,0.7285731581868169
490,87250000000.0,0.7407194705625485,0.7286274310073573
491,87275000000.0,0.7407943060530238,0.7286782771251956
492,87300000000.0,0.7408652927628804,0.7287257402139964
493,87325000000.0,0.7409324969069045,0.7287698673499067
494,87350000000.0,0.7409959873864483,0.7288107086845114
495,87375000000.0,0.7410558353875645,0.7288483170977392
496,87400000000.0,0.7411121140176693,0.7288827478750403
497,87425000000.0,0.7411648979425836,0.7289140583897693
498,87450000000.0,0.7412142630168785,0.7289423077706406
499,87475000000.0,0.741260285864235,0.7289675565278585
500,87500000000.0,0.7413030435926059,0.7289898662957452
501,87525000000.0,0.7413426133873494,0.7290092994593305
502,87550000000.0,0.7413790721753453,0.7290259188526833
503,87575000000.0,0.7414124963444656,0.7290397874906762
504,87600000000.0,0.7414429613431798,0.7290509682004507
505,87625000000.0,0.741470541443689,0.7290595233966947
506,87650000000.0,0.7414953093877099,0.7290655147432842
507,87675000000.0,0.7415173361666478,0.729069002937529
508,87700000000.0,0.7415366907319315,0.7290700474319138
509,87725000000.0,0.7415534397335771,0.7290687061679323
510,87750000000.0,0.7415676473312526,0.7290650353896662
511,87775000000.0,0.7415793749577125,0.7290590893963621
512,87800000000.0,0.7415886811478988,0.7290509203609067
513,87825000000.0,0.7415956213494016,0.72904057812846
514,87850000000.0,0.7416002478064686,0.7290281100777878
515,87875000000.0,0.7416026093809586,0.729013560926792
516,87900000000.0,0.7416027515052733,0.7289969726513933
