frequency/GHz;epsilon_r';epsilon_r'';n;alpha
95;2.1479113578;0.0122143329;1.4655813598;0.1658219579
95.025;2.1478302488;0.0121910478;1.4655536659;0.1655525218
95.05;2.1477508377;0.0121645131;1.4655265477;0.1652387015
95.075;2.1476732513;0.012134815;1.4655000485;0.1648816289
95.1;2.1475976107;0.0121020462;1.4654742099;0.1644825228
95.125;2.1475240308;0.0120663055;1.4654490711;0.1640426848
95.15;2.1474526206;0.0120276969;1.4654246695;0.1635634952
95.175;2.1473834825;0.0119863301;1.4654010402;0.1630464083
95.2;2.1473167123;0.0119423196;1.4653782162;0.1624929487
95.225;2.1472523989;0.0118957846;1.4653562278;0.1619047057
95.25;2.1471906243;0.0118468485;1.4653351033;0.1612833289
95.275;2.1471314631;0.0117956386;1.4653148683;0.1606305231
95.3;2.1470749826;0.0117422858;1.465295546;0.1599480433
95.325;2.1470212426;0.011686924;1.4652771569;0.1592376892
95.35;2.1469702954;0.0116296897;1.465259719;0.1585013001
95.375;2.1469221857;0.0115707221;1.4652432479;0.1577407496
95.4;2.1468769504;0.0115101621;1.4652277563;0.1569579398
95.425;2.1468346186;0.0114481519;1.4652132543;0.1561547962
95.45;2.1467952117;0.0113848353;1.4651997494;0.155333262
95.475;2.1467587435;0.0113203564;1.4651872464;0.1544952925
95.5;2.1467252199;0.0112548598;1.4651757477;0.1536428499
95.525;2.1466946392;0.01118849;1.4651652527;0.1527778974
95.55;2.1466669922;0.011121391;1.4651557584;0.1519023941
95.575;2.1466422621;0.0110537059;1.4651472594;0.1510182897
95.6;2.1466204247;0.0109855765;1.4651397475;0.1501275187
95.625;2.1466014488;0.010917143;1.4651332121;0.1492319957
95.65;2.1465852958;0.0108485436;1.4651276403;0.1483336102
95.675;2.1465719204;0.0107799143;1.4651230168;0.1474342211
95.7;2.1465612705;0.0107113879;1.4651193238;0.1465356527
95.725;2.1465532875;0.0106430947;1.4651165415;0.1456396894
95.75;2.1465479065;0.0105751613;1.4651146478;0.1447480709
95.775;2.1465450565;0.0105077105;1.4651136187;0.1438624886
95.8;2.146544661;0.0104408615;1.4651134281;0.1429845809
95.825;2.1465466375;0.0103747287;1.4651140479;0.142115929
95.85;2.1465508986;0.0103094224;1.4651154483;0.1412580534
95.875;2.1465573518;0.0102450478;1.465117598;0.1404124101
95.9;2.1465659002;0.0101817051;1.4651204639;0.1395803875
95.925;2.1465764422;0.0101194892;1.4651240113;0.1387633027
95.95;2.1465888727;0.0100584897;1.4651282045;0.1379623991
95.975;2.1466030824;0.0099987902;1.4651330062;0.1371788432
96;2.1466189591;0.0099404686;1.4651383781;0.1364137226
96.025;2.1466363875;0.0098835969;1.465144281;0.1356680435
96.05;2.1466552498;0.0098282409;1.4651506745;0.1349427286
96.075;2.1466754257;0.0097744601;1.4651575179;0.1342386159
